,country,country_code,gold,silver,bronze,total
0,Soviet Union,URS,7,3,6,16
1,Austria,AUT,4,3,4,11
2,Finland,FIN,3,3,1,7
3,Switzerland,SUI,3,2,1,6
4,Sweden,SWE,2,4,4,10
5,United States,USA,2,3,2,7
6,Norway,NOR,2,1,1,4
7,Italy,ITA,1,2,0,3
8,Germany,GER,1,0,1,2
9,Canada,CAN,0,1,2,3
10,Japan,JPN,0,1,0,1
11,Hungary,HUN,0,0,1,1
12,Poland,POL,0,0,1,1
