,country,country_code,gold,silver,bronze,total
0,Norway,NOR,7,5,3,15
1,Germany,GER,3,3,0,6
2,Sweden,SWE,2,2,3,7
3,Finland,FIN,1,2,3,6
4,Switzerland,SUI,1,2,0,3
5,Austria,AUT,1,1,2,4
6,Great Britain,GBR,1,1,1,3
7,United States,USA,1,0,3,4
8,Canada,CAN,0,1,0,1
9,France,FRA,0,0,1,1
10,Hungary,HUN,0,0,1,1
