,country,country_code,gold,silver,bronze,total
0,Norway,NOR,13,5,7,25
1,Germany,GER,12,16,8,36
2,United States,USA,10,13,11,34
3,Canada,CAN,7,3,7,17
4,Russian Federation,RUS,5,4,4,13
5,France,FRA,4,5,2,11
6,Italy,ITA,4,4,5,13
7,Finland,FIN,4,2,1,7
8,Netherlands,NED,3,5,0,8
9,Austria,AUT,3,4,10,17
10,Switzerland,SUI,3,2,6,11
11,Croatia,CRO,3,1,0,4
12,People's Republic of China,CHN,2,2,4,8
13,Republic of Korea,KOR,2,2,0,4
14,Australia,AUS,2,0,0,2
15,Czech Republic,CZE,1,2,0,3
16,Estonia,EST,1,1,1,3
17,Great Britain,GBR,1,0,1,2
18,Sweden,SWE,0,2,5,7
19,Bulgaria,BUL,0,1,2,3
20,Japan,JPN,0,1,1,2
21,Poland,POL,0,1,1,2
22,Belarus,BLR,0,0,1,1
23,Slovenia,SLO,0,0,1,1
