,country,country_code,gold,silver,bronze,total
0,Canada,CAN,14,7,5,26
1,Germany,GER,10,13,7,30
2,United States,USA,9,15,13,37
3,Norway,NOR,9,8,6,23
4,Republic of Korea,KOR,6,6,2,14
5,Switzerland,SUI,6,0,3,9
6,People's Republic of China,CHN,5,2,4,11
7,Sweden,SWE,5,2,4,11
8,Austria,AUT,4,6,6,16
9,Netherlands,NED,4,1,3,8
10,Russian Federation,RUS,3,5,7,15
11,France,FRA,2,3,6,11
12,Australia,AUS,2,1,0,3
13,Czech Republic,CZE,2,0,4,6
14,Poland,POL,1,3,2,6
15,Italy,ITA,1,1,3,5
16,Belarus,BLR,1,1,1,3
17,Slovakia,SVK,1,1,1,3
18,Great Britain,GBR,1,0,0,1
19,Japan,JPN,0,3,2,5
20,Croatia,CRO,0,2,1,3
21,Slovenia,SLO,0,2,1,3
22,Latvia,LAT,0,2,0,2
23,Finland,FIN,0,1,4,5
24,Estonia,EST,0,1,0,1
25,Kazakhstan,KAZ,0,1,0,1
