,country,country_code,gold,silver,bronze,total
0,Soviet Union,URS,10,6,6,22
1,East Germany,GDR,9,7,7,23
2,United States,USA,6,4,2,12
3,Austria,AUT,3,2,2,7
4,Sweden,SWE,3,0,1,4
5,Liechtenstein,LIE,2,2,0,4
6,Finland,FIN,1,5,3,9
7,Norway,NOR,1,3,6,10
8,Netherlands,NED,1,2,1,4
9,Switzerland,SUI,1,1,3,5
10,Great Britain,GBR,1,0,0,1
11,West Germany,FRG,0,2,3,5
12,Italy,ITA,0,2,0,2
13,Canada,CAN,0,1,1,2
14,Hungary,HUN,0,1,0,1
15,Japan,JPN,0,1,0,1
16,Bulgaria,BUL,0,0,1,1
17,Czechoslovakia,TCH,0,0,1,1
18,France,FRA,0,0,1,1
