,country,country_code,gold,silver,bronze,total
0,United States,USA,6,4,2,12
1,Norway,NOR,3,4,3,10
2,Sweden,SWE,1,2,0,3
3,Canada,CAN,1,1,5,7
4,Finland,FIN,1,1,1,3
5,Austria,AUT,1,1,0,2
6,France,FRA,1,0,0,1
7,Switzerland,SUI,0,1,0,1
8,Germany,GER,0,0,2,2
9,Hungary,HUN,0,0,1,1
