,country,country_code,gold,silver,bronze,total
0,Soviet Union,URS,8,5,3,16
1,East Germany,GDR,4,3,7,14
2,Switzerland,SUI,4,3,3,10
3,Netherlands,NED,4,3,2,9
4,United States,USA,3,2,3,8
5,West Germany,FRG,3,1,1,5
6,Norway,NOR,2,5,5,12
7,Italy,ITA,2,2,1,5
8,Austria,AUT,1,2,2,5
9,Sweden,SWE,1,1,2,4
10,Japan,JPN,1,1,1,3
11,Czechoslovakia,TCH,1,0,2,3
12,Poland,POL,1,0,0,1
13,Spain,ESP,1,0,0,1
14,Finland,FIN,0,4,1,5
15,France,FRA,0,1,2,3
16,Canada,CAN,0,1,0,1
