,country,country_code,gold,silver,bronze,total
0,Soviet Union,URS,13,6,8,27
1,East Germany,GDR,7,5,7,19
2,United States,USA,3,3,4,10
3,Norway,NOR,3,3,1,7
4,West Germany,FRG,2,5,3,10
5,Finland,FIN,2,4,1,7
6,Austria,AUT,2,2,2,6
7,Switzerland,SUI,1,3,1,5
8,Netherlands,NED,1,2,3,6
9,Italy,ITA,1,2,1,4
10,Canada,CAN,1,1,1,3
11,Great Britain,GBR,1,0,0,1
12,Czechoslovakia,TCH,0,1,0,1
13,Liechtenstein,LIE,0,0,2,2
14,Sweden,SWE,0,0,2,2
15,France,FRA,0,0,1,1
