,country,country_code,gold,silver,bronze,total
0,Norway,NOR,14,14,11,39
1,Germany,GER,14,10,7,31
2,Canada,CAN,11,8,10,29
3,United States,USA,9,8,6,23
4,Netherlands,NED,8,6,6,20
5,Sweden,SWE,7,6,1,14
6,Republic of Korea,KOR,5,8,4,17
7,Switzerland,SUI,5,6,4,15
8,France,FRA,5,4,6,15
9,Austria,AUT,5,3,6,14
10,Japan,JPN,4,5,4,13
11,Italy,ITA,3,2,5,10
12,ROC,ROC,2,6,9,17
13,Czech Republic,CZE,2,2,3,7
14,Belarus,BLR,2,1,0,3
15,People's Republic of China,CHN,1,6,2,9
16,Slovakia,SVK,1,2,0,3
17,Finland,FIN,1,1,4,6
18,Great Britain,GBR,1,0,4,5
19,Poland,POL,1,0,1,2
20,Hungary,HUN,1,0,0,1
21,Ukraine,UKR,1,0,0,1
22,Australia,AUS,0,2,1,3
23,Slovenia,SLO,0,1,1,2
24,Belgium,BEL,0,1,0,1
25,New Zealand,NZL,0,0,2,2
26,Spain,ESP,0,0,2,2
27,Kazakhstan,KAZ,0,0,1,1
28,Latvia,LAT,0,0,1,1
29,Liechtenstein,LIE,0,0,1,1
