,country,country_code,gold,silver,bronze,total
0,United States,USA,40,19,17,76
1,Soviet Union,URS,22,30,19,71
2,Hungary,HUN,16,10,16,42
3,Sweden,SWE,12,13,10,35
4,Italy,ITA,8,9,4,21
5,Czechoslovakia,TCH,7,3,3,13
6,France,FRA,6,6,6,18
7,Finland,FIN,6,3,13,22
8,Australia,AUS,6,2,3,11
9,Norway,NOR,3,2,0,5
10,Switzerland,SUI,2,6,6,14
11,South Africa,RSA,2,4,4,10
12,Jamaica,JAM,2,3,0,5
13,Belgium,BEL,2,2,0,4
14,Denmark,DEN,2,1,3,6
15,Turkey,TUR,2,0,1,3
16,Japan,JPN,1,6,2,9
17,Great Britain,GBR,1,2,8,11
18,Argentina,ARG,1,2,2,5
19,Poland,POL,1,2,1,4
20,Canada,CAN,1,2,0,3
21,Yugoslavia,YUG,1,2,0,3
22,Romania,ROU,1,1,2,4
23,Brazil,BRA,1,0,2,3
24,New Zealand,NZL,1,0,2,3
25,India,IND,1,0,1,2
26,Luxembourg,LUX,1,0,0,1
27,Germany,GER,0,7,17,24
28,Netherlands,NED,0,5,0,5
29,Islamic Republic of Iran,IRI,0,3,4,7
30,Chile,CHI,0,2,0,2
31,Austria,AUT,0,1,1,2
32,Lebanon,LBN,0,1,1,2
33,Ireland,IRL,0,1,0,1
34,Mexico,MEX,0,1,0,1
35,Spain,ESP,0,1,0,1
36,Republic of Korea,KOR,0,0,2,2
37,Trinidad and Tobago,TTO,0,0,2,2
38,Uruguay,URU,0,0,2,2
39,Bulgaria,BUL,0,0,1,1
40,Egypt,EGY,0,0,1,1
41,Portugal,POR,0,0,1,1
42,Venezuela,VEN,0,0,1,1
