,country,country_code,gold,silver,bronze,total
0,United States,USA,36,26,28,90
1,Soviet Union,URS,30,31,35,96
2,Japan,JPN,16,5,8,29
3,Germany,GER,10,22,18,50
4,Italy,ITA,10,10,7,27
5,Hungary,HUN,10,7,5,22
6,Poland,POL,7,6,10,23
7,Australia,AUS,6,2,10,18
8,Czechoslovakia,TCH,5,6,3,14
9,Great Britain,GBR,4,12,2,18
10,Bulgaria,BUL,3,5,2,10
11,Finland,FIN,3,0,2,5
12,New Zealand,NZL,3,0,2,5
13,Romania,ROU,2,4,6,12
14,Netherlands,NED,2,4,4,10
15,Turkey,TUR,2,3,1,6
16,Sweden,SWE,2,2,4,8
17,Denmark,DEN,2,1,3,6
18,Yugoslavia,YUG,2,1,2,5
19,Belgium,BEL,2,0,1,3
20,France,FRA,1,8,6,15
21,Canada,CAN,1,2,1,4
22,Switzerland,SUI,1,2,1,4
23,Ethiopia,ETH,1,0,0,1
24,India,IND,1,0,0,1
25,The Bahamas,BAH,1,0,0,1
26,Republic of Korea,KOR,0,2,1,3
27,Trinidad and Tobago,TTO,0,1,2,3
28,Tunisia,TUN,0,1,1,2
29,Argentina,ARG,0,1,0,1
30,Cuba,CUB,0,1,0,1
31,Pakistan,PAK,0,1,0,1
32,Philippines,PHI,0,1,0,1
33,Islamic Republic of Iran,IRI,0,0,2,2
34,Brazil,BRA,0,0,1,1
35,Ghana,GHA,0,0,1,1
36,Ireland,IRL,0,0,1,1
37,Kenya,KEN,0,0,1,1
38,Mexico,MEX,0,0,1,1
39,Nigeria,NGR,0,0,1,1
40,Uruguay,URU,0,0,1,1
