,country,country_code,gold,silver,bronze,total
0,United States,USA,45,27,27,99
1,France,FRA,14,15,12,41
2,Finland,FIN,14,13,10,37
3,Great Britain,GBR,9,14,12,35
4,Italy,ITA,8,3,5,16
5,Switzerland,SUI,7,8,10,25
6,Norway,NOR,5,2,3,10
7,Sweden,SWE,4,13,12,29
8,Netherlands,NED,4,1,6,11
9,Belgium,BEL,3,7,3,13
10,Australia,AUS,3,1,2,6
11,Denmark,DEN,2,6,3,11
12,Hungary,HUN,2,4,4,10
13,Yugoslavia,YUG,2,0,0,2
14,Czechoslovakia,TCH,1,4,5,10
15,Argentina,ARG,1,3,2,6
16,Estonia,EST,1,1,4,6
17,South Africa,RSA,1,1,1,3
18,Luxembourg,LUX,1,1,0,2
19,Greece,GRE,1,0,0,1
20,Uruguay,URU,1,0,0,1
21,Austria,AUT,0,3,1,4
22,Canada,CAN,0,3,1,4
23,Ireland,IRL,0,1,1,2
24,Poland,POL,0,1,1,2
25,Haiti,HAI,0,0,1,1
26,Japan,JPN,0,0,1,1
27,Monaco,MON,0,0,1,1
28,New Zealand,NZL,0,0,1,1
29,Portugal,POR,0,0,1,1
30,Romania,ROU,0,0,1,1
