,country,country_code,gold,silver,bronze,total
0,United States,USA,83,61,30,174
1,Romania,ROU,20,16,17,53
2,West Germany,FRG,17,19,23,59
3,People's Republic of China,CHN,15,8,9,32
4,Italy,ITA,14,6,12,32
5,Canada,CAN,10,18,16,44
6,Japan,JPN,10,8,14,32
7,New Zealand,NZL,8,1,2,11
8,Yugoslavia,YUG,7,4,7,18
9,Republic of Korea,KOR,6,6,7,19
10,Great Britain,GBR,5,11,21,37
11,France,FRA,5,7,16,28
12,Netherlands,NED,5,2,6,13
13,Australia,AUS,4,8,12,24
14,Finland,FIN,4,2,6,12
15,Sweden,SWE,2,11,6,19
16,Mexico,MEX,2,3,1,6
17,Morocco,MAR,2,0,0,2
18,Brazil,BRA,1,5,2,8
19,Spain,ESP,1,2,2,5
20,Belgium,BEL,1,1,2,4
21,Austria,AUT,1,1,1,3
22,Kenya,KEN,1,0,2,3
23,Portugal,POR,1,0,2,3
24,Pakistan,PAK,1,0,0,1
25,Switzerland,SUI,0,4,4,8
26,Denmark,DEN,0,3,3,6
27,Jamaica,JAM,0,1,2,3
28,Norway,NOR,0,1,2,3
29,Greece,GRE,0,1,1,2
30,Nigeria,NGR,0,1,1,2
31,Puerto Rico,PUR,0,1,1,2
32,Colombia,COL,0,1,0,1
33,Côte d'Ivoire,CIV,0,1,0,1
34,Egypt,EGY,0,1,0,1
35,Ireland,IRL,0,1,0,1
36,Peru,PER,0,1,0,1
37,Syrian Arab Republic,SYR,0,1,0,1
38,Thailand,THA,0,1,0,1
39,Turkey,TUR,0,0,3,3
40,Venezuela,VEN,0,0,3,3
41,Algeria,ALG,0,0,2,2
42,Cameroon,CMR,0,0,1,1
43,Chinese Taipei,TPE,0,0,1,1
44,Dominican Republic,DOM,0,0,1,1
45,Iceland,ISL,0,0,1,1
46,Zambia,ZAM,0,0,1,1
