,country,country_code,gold,silver,bronze,total
0,France,FRA,31,40,40,111
1,United States,USA,20,13,15,48
2,Great Britain,GBR,20,9,9,38
3,Belgium,BEL,6,7,5,18
4,Switzerland,SUI,6,3,1,10
5,Germany,GER,4,3,2,9
6,Italy,ITA,3,2,0,5
7,Denmark,DEN,1,3,2,6
8,Mixed team,MIX,1,2,3,6
9,Netherlands,NED,1,2,3,6
10,Hungary,HUN,1,2,2,5
11,Cuba,CUB,1,1,0,2
12,Spain,ESP,1,0,0,1
13,Austria,AUT,0,3,3,6
14,Norway,NOR,0,2,3,5
15,India,IND,0,2,0,2
16,Bohemia,BOH,0,1,1,2
17,Australia,AUS,0,0,3,3
18,Sweden,SWE,0,0,1,1
