,country,country_code,gold,silver,bronze,total
0,United States,USA,41,27,27,95
1,Sweden,SWE,19,20,25,64
2,Belgium,BEL,16,12,14,42
3,Finland,FIN,15,10,9,34
4,Great Britain,GBR,14,16,13,43
5,Italy,ITA,14,6,5,25
6,Norway,NOR,13,10,9,32
7,France,FRA,9,20,13,42
8,Netherlands,NED,4,2,5,11
9,Denmark,DEN,3,9,1,13
10,South Africa,RSA,3,4,3,10
11,Canada,CAN,3,3,3,9
12,Switzerland,SUI,2,2,7,11
13,Estonia,EST,1,2,0,3
14,Brazil,BRA,1,1,1,3
15,Australia,AUS,0,2,1,3
16,Japan,JPN,0,2,0,2
17,Spain,ESP,0,2,0,2
18,Greece,GRE,0,1,0,1
19,Luxembourg,LUX,0,1,0,1
20,Czechoslovakia,TCH,0,0,2,2
21,New Zealand,NZL,0,0,1,1
