,country,country_code,gold,silver,bronze,total
0,Great Britain,GBR,56,51,39,146
1,United States,USA,23,12,12,47
2,Sweden,SWE,8,6,11,25
3,France,FRA,5,5,9,19
4,Germany,GER,3,5,5,13
5,Hungary,HUN,3,4,2,9
6,Canada,CAN,3,3,10,16
7,Norway,NOR,2,3,3,8
8,Italy,ITA,2,2,0,4
9,Belgium,BEL,1,5,2,8
10,Australasia,ANZ,1,2,2,5
11,Russian Federation,RUS,1,2,0,3
12,Finland,FIN,1,1,3,5
13,South Africa,RSA,1,1,0,2
14,Greece,GRE,0,3,1,4
15,Denmark,DEN,0,2,3,5
16,Bohemia,BOH,0,0,2,2
17,Netherlands,NED,0,0,2,2
18,Austria,AUT,0,0,1,1
