,country,country_code,gold,silver,bronze,total
0,United States,USA,26,19,19,64
1,Sweden,SWE,24,24,17,65
2,Great Britain,GBR,10,15,16,41
3,Finland,FIN,9,8,9,26
4,France,FRA,7,5,3,15
5,Germany,GER,6,13,7,26
6,Italy,ITA,5,1,2,8
7,South Africa,RSA,4,2,0,6
8,Norway,NOR,4,1,5,10
9,Canada,CAN,3,2,3,8
10,Hungary,HUN,3,2,3,8
11,Australasia,ANZ,2,2,3,7
12,Belgium,BEL,2,1,3,6
13,Denmark,DEN,1,6,5,12
14,Greece,GRE,1,0,1,2
15,Switzerland,SUI,1,0,0,1
16,Russian Federation,RUS,0,2,3,5
17,Austria,AUT,0,2,2,4
18,Netherlands,NED,0,0,3,3
