,country,country_code,gold,silver,bronze,total
0,United States,USA,11,7,2,20
1,Greece,GRE,10,18,19,47
2,Germany,GER,6,5,2,13
3,France,FRA,5,4,2,11
4,Great Britain,GBR,2,3,2,7
5,Hungary,HUN,2,1,3,6
6,Austria,AUT,2,1,2,5
7,Australia,AUS,2,0,0,2
8,Denmark,DEN,1,2,3,6
9,Switzerland,SUI,1,2,0,3
10,Mixed team,MIX,1,0,1,2
