,country,country_code,gold,silver,bronze,total
0,United States,USA,80,85,83,248
1,Germany,GER,5,4,5,14
2,Canada,CAN,4,1,1,6
3,Cuba,CUB,3,0,0,3
4,Hungary,HUN,2,1,1,4
5,Great Britain,GBR,1,1,0,2
6,Greece,GRE,1,0,1,2
7,Mixed team,MIX,1,0,0,1
