,country,country_code,gold,silver,bronze,total
0,Unified Team,EUN,45,38,29,112
1,United States,USA,37,34,37,108
2,Germany,GER,33,21,28,82
3,People's Republic of China,CHN,16,22,16,54
4,Cuba,CUB,14,6,11,31
5,Spain,ESP,13,7,2,22
6,Republic of Korea,KOR,12,5,12,29
7,Hungary,HUN,11,12,7,30
8,France,FRA,8,5,16,29
9,Australia,AUS,7,9,11,27
10,Canada,CAN,7,4,7,18
11,Italy,ITA,6,5,8,19
12,Great Britain,GBR,5,3,12,20
13,Romania,ROU,4,6,8,18
14,Czechoslovakia,TCH,4,2,1,7
15,Democratic People's Republic of Korea,PRK,4,0,5,9
16,Japan,JPN,3,8,11,22
17,Bulgaria,BUL,3,7,6,16
18,Poland,POL,3,6,10,19
19,Netherlands,NED,2,6,7,15
20,Kenya,KEN,2,4,2,8
21,Norway,NOR,2,4,1,7
22,Turkey,TUR,2,2,2,6
23,Indonesia,INA,2,2,1,5
24,Brazil,BRA,2,1,0,3
25,Greece,GRE,2,0,0,2
26,Sweden,SWE,1,7,4,12
27,New Zealand,NZL,1,4,5,10
28,Finland,FIN,1,2,2,5
29,Denmark,DEN,1,1,4,6
30,Morocco,MAR,1,1,1,3
31,Ireland,IRL,1,1,0,2
32,Ethiopia,ETH,1,0,2,3
33,Algeria,ALG,1,0,1,2
34,Estonia,EST,1,0,1,2
35,Lithuania,LTU,1,0,1,2
36,Switzerland,SUI,1,0,0,1
37,Jamaica,JAM,0,3,1,4
38,Nigeria,NGR,0,3,1,4
39,Latvia,LAT,0,2,1,3
40,Austria,AUT,0,2,0,2
41,Namibia,NAM,0,2,0,2
42,South Africa,RSA,0,2,0,2
43,Belgium,BEL,0,1,2,3
44,Croatia,CRO,0,1,2,3
45,Individual Olympic Athletes,IOA,0,1,2,3
46,Islamic Republic of Iran,IRI,0,1,2,3
47,Israel,ISR,0,1,1,2
48,Chinese Taipei,TPE,0,1,0,1
49,Mexico,MEX,0,1,0,1
50,Peru,PER,0,1,0,1
51,Mongolia,MGL,0,0,2,2
52,Slovenia,SLO,0,0,2,2
53,Argentina,ARG,0,0,1,1
54,Colombia,COL,0,0,1,1
55,Ghana,GHA,0,0,1,1
56,Malaysia,MAS,0,0,1,1
57,Pakistan,PAK,0,0,1,1
58,Philippines,PHI,0,0,1,1
59,Puerto Rico,PUR,0,0,1,1
60,Qatar,QAT,0,0,1,1
61,Suriname,SUR,0,0,1,1
62,Thailand,THA,0,0,1,1
63,The Bahamas,BAH,0,0,1,1
