,country,country_code,gold,silver,bronze,total
0,United States,USA,45,28,34,107
1,Soviet Union,URS,29,32,30,91
2,Japan,JPN,11,7,7,25
3,Hungary,HUN,10,10,12,32
4,East Germany,GDR,9,9,7,25
5,France,FRA,7,3,5,15
6,Czechoslovakia,TCH,7,2,4,13
7,West Germany,FRG,5,11,10,26
8,Australia,AUS,5,7,5,17
9,Great Britain,GBR,5,5,3,13
10,Poland,POL,5,2,11,18
11,Romania,ROU,4,6,5,15
12,Italy,ITA,3,4,9,16
13,Kenya,KEN,3,4,2,9
14,Mexico,MEX,3,3,3,9
15,Yugoslavia,YUG,3,3,2,8
16,Netherlands,NED,3,3,1,7
17,Bulgaria,BUL,2,4,3,9
18,Islamic Republic of Iran,IRI,2,1,2,5
19,Sweden,SWE,2,1,1,4
20,Turkey,TUR,2,0,0,2
21,Denmark,DEN,1,4,3,8
22,Canada,CAN,1,3,1,5
23,Finland,FIN,1,2,1,4
24,Ethiopia,ETH,1,1,0,2
25,Norway,NOR,1,1,0,2
26,New Zealand,NZL,1,0,2,3
27,Tunisia,TUN,1,0,1,2
28,Pakistan,PAK,1,0,0,1
29,Venezuela,VEN,1,0,0,1
30,Cuba,CUB,0,4,0,4
31,Austria,AUT,0,2,2,4
32,Switzerland,SUI,0,1,4,5
33,Mongolia,MGL,0,1,3,4
34,Brazil,BRA,0,1,2,3
35,Belgium,BEL,0,1,1,2
36,Republic of Korea,KOR,0,1,1,2
37,Uganda,UGA,0,1,1,2
38,Cameroon,CMR,0,1,0,1
39,Jamaica,JAM,0,1,0,1
40,Argentina,ARG,0,0,2,2
41,Chinese Taipei,TPE,0,0,1,1
42,Greece,GRE,0,0,1,1
43,India,IND,0,0,1,1
