13,BDI,2841786382,2704405746,2753533604,2798073765,2905536037,2959278269,3008406127,3052946288,3160408561,3214150792,3263278650,3307818811,3415281084,3469023315,3518151173,3562691334,3670153607,3723895838,3773023697,3817563857,3925026130,3978768361,4027896220,4072436381,4179898653,4233640884,4282768743,4327308904,4434771176,4488513408,4537641266,2631434363
14,BEL,5.21861E+11,5.82837E+11,5.90786E+11,5.97131E+11,6.22312E+11,6.31874E+11,6.39822E+11,6.46167E+11,6.71348E+11,6.8091E+11,6.88859E+11,6.95204E+11,7.20385E+11,7.29946E+11,7.37895E+11,7.4424E+11,7.69421E+11,7.78982E+11,7.86931E+11,7.93276E+11,8.18457E+11,8.28018E+11,8.35967E+11,8.42312E+11,8.67493E+11,8.77054E+11,8.85003E+11,8.91348E+11,9.16529E+11,9.2609E+11,9.34039E+11,5.35289E+11
15,BEN,15651545332,16615782839,17333787915,18085115935,18189036278,18873470098,19591475174,20342803194,20446723537,21131157357,21849162433,22600490453,22704410796,23388844615,24106849692,24858177711,24962098054,25646531874,26364536950,27115864970,27219785313,27904219133,28622224209,29373552229,29477472572,30161906392,30879911468,31631239488,31735159831,32419593650,33137598727,14391686633
16,BFA,17933606353,18823438379,19800345968,20837757808,20698041630,21613996372,22590903960,23628315801,23488599623,24404554364,25381461953,26418873793,26279157616,27195112357,28172019946,29209431786,29069715608,29985670350,30962577939,31999989779,31860273601,32776228343,33753135932,34790547772,34650831594,35566786335,36543693924,37581105764,37441389587,38357344328,39334251917,16178162030
17,BGD,3.23057E+11,3.31097E+11,3.4742E+11,3.63303E+11,3.84517E+11,4.01283E+11,4.17607E+11,4.3349E+11,4.54704E+11,4.7147E+11,4.87794E+11,5.03676E+11,5.2489E+11,5.41657E+11,5.5798E+11,5.73863E+11,5.95077E+11,6.11843E+11,6.28167E+11,6.4405E+11,6.65264E+11,6.8203E+11,6.98354E+11,7.14236E+11,7.3545E+11,7.52217E+11,7.6854E+11,7.84423E+11,8.05637E+11,8.22403E+11,8.38727E+11,3.02571E+11
18,BGR,69889347433,50674521695,51814877099,52933571472,52174935002,53336399681,54476755085,55595449458,54836812988,55998277667,57138633071,58257327443,57498690974,58660155653,59800511057,60919205429,60160568960,61322033639,62462389042,63581083415,62822446945,63983911624,65124267028,66242961401,65484324931,66645789610,67786145014,68904839387,68146202917,69307667596,70448023000,68915416142
19,BHR,34729228723,42400838645,43696766659,44953374006,47142913199,48478546528,49774474542,51031081889,53220621082,54556254411,55852182425,57108789772,59298328965,60633962294,61929890308,63186497655,65376036848,66711670178,68007598192,69264205538,71453744732,72789378061,74085306075,75341913422,77531452615,78867085944,80163013958,81419621305,83609160498,84944793827,86240721841,38652579787
20,BHS,9907500000,13122237924,13094888694,13003692770,14335765177,14372808388,14345459157,14254263233,15586335641,15623378852,15596029621,15504833697,16836906105,16873949315,16846600085,16755404161,18087476568,18124519779,18097170548,18005974624,19338047032,19375090243,19347741012,19256545088,20588617496,20625660706,20598311476,20507115552,21839187959,21876231170,21848881939,13164400000
21,BIH,19946496563,23217988601,24026300775,24854436820,25298768638,26087105046,26895417220,27723553266,28167885083,28956221492,29764533666,30592669711,31037001528,31825337937,32633650111,33461786156,33906117973,34694454382,35502766556,36330902602,36775234419,37563570827,38371883002,39200019047,39644350864,40432687273,41240999447,42069135492,42513467309,43301803718,44110115892,20201323260
22,BLR,60258239056,50658434416,51313241640,51965223711,52655509847,53313171325,53967978549,54619960620,55310246756,55967908234,56622715458,57274697529,57964983666,58622645143,59277452367,59929434438,60619720575,61277382052,61932189276,62584171347,63274457484,63932118961,64586926185,65238908256,65929194393,66586855870,67241663094,67893645166,68583931302,69241592779,69896400003,64409647194
23,BLZ,1636280797,1995321246,2013018192,2022280645,2186838624,2213028910,2230725855,2239988308,2404546287,2430736573,2448433519,2457695972,2622253950,2648444237,2666141182,2675403635,2839961614,2866151900,2883848846,2893111299,3057669277,3083859563,3101556509,3110818962,3275376941,3301567227,3319264172,3328526626,3493084604,3519274890,3536971836,1982518541
24,BMU,6842700000,8230482790,8401345115,8565590143,8879664892,9057204164,9228066489,9392311517,9706386266,9883925539,10054787864,10219032892,10533107641,10710646913,10881509238,11045754267,11359829015,11537368288,11708230613,11872475641,12186550390,12364089662,12534951988,12699197016,13013271765,13190811037,13361673362,13525918390,13839993139,14017532411,14188394737,7484113000
25,BOL,36572764863,45425578355,47150279328,48821600429,51978398426,53757026103,55481727075,57153048177,60309846173,62088473851,63813174823,65484495925,68641293921,70419921599,72144622571,73815943673,76972741669,78751369347,80476070319,82147391421,85304189417,87082817095,88807518067,90478839169,93635637165,95414264842,97138965815,98810286917,1.01967E+11,1.03746E+11,1.0547E+11,40895322844
26,BRA,1.44473E+12,1.86197E+12,1.8795E+12,1.8949E+12,1.99413E+12,2.01381E+12,2.03134E+12,2.04674E+12,2.14597E+12,2.16565E+12,2.18317E+12,2.19858E+12,2.29781E+12,2.31749E+12,2.33501E+12,2.35042E+12,2.44965E+12,2.46933E+12,2.48685E+12,2.50226E+12,2.60148E+12,2.62116E+12,2.63869E+12,2.6541E+12,2.75332E+12,2.773E+12,2.79053E+12,2.80593E+12,2.90516E+12,2.92484E+12,2.94237E+12,1.87782E+12
27,BRB,4418000000,5445868855,5489720280,5519213878,5834610546,5892929172,5936780598,5966274195,6281670863,6339989490,6383840915,6413334513,6728731181,6787049807,6830901233,6860394830,7175791498,7234110125,7277961550,7307455148,7622851816,7681170442,7725021868,7754515465,8069912133,8128230760,8172082185,8201575783,8516972451,8575291077,8619142503,5209000000
28,BRN,12005825770,14911308129,15407993225,15935367878,15543251141,16008915391,16505600486,17032975139,16640858403,17106522652,17603207748,18130582401,17738465664,18204129914,18700815009,19228189662,18836072926,19301737175,19798422271,20325796924,19933680188,20399344437,20896029532,21423404185,21031287449,21496951698,21993636794,22521011447,22128894711,22594558960,23091244055,13469422959
29,BTN,2315437338,2723551695,2772870621,2806876818,3111667273,3176396014,3225714940,3259721137,3564511592,3629240333,3678559259,3712565456,4017355912,4082084652,4131403578,4165409775,4470200231,4534928971,4584247897,4618254094,4923044550,4987773291,5037092217,5071098413,5375888869,5440617610,5489936536,5523942732,5828733188,5893461929,5942780855,2535657069
30,BWA,15061922802,18020443849,18298504960,18512158263,19816334775,20159243247,20437304359,20650957662,21955134174,22298042646,22576103758,22789757061,24093933573,24436842045,24714903157,24928556459,26232732971,26575641444,26853702555,27067355858,28371532370,28714440842,28992501954,29206155257,30510331769,30853240241,31131301353,31344954656,32649131168,32992039640,33270100752,16593720656
31,CAF,2380087758,2311912969,2383514061,2457245249,2390056904,2459481016,2531082107,2604813296,2537624951,2607049062,2678650154,2752381343,2685192997,2754617109,2826218201,2899949389,2832761044,2902185156,2973786248,3047517436,2980329091,3049753203,3121354294,3195085483,3127897137,3197321249,3268922341,3342653530,3275465184,3344889296,3416490388,2220307369
32,CAN,1.64542E+12,1.96061E+12,2.00678E+12,2.05257E+12,2.10532E+12,2.15186E+12,2.19803E+12,2.24382E+12,2.29657E+12,2.34311E+12,2.38928E+12,2.43507E+12,2.48782E+12,2.53436E+12,2.58053E+12,2.62632E+12,2.67907E+12,2.72562E+12,2.77178E+12,2.81757E+12,2.87032E+12,2.91687E+12,2.96303E+12,3.00883E+12,3.06157E+12,3.10812E+12,3.15428E+12,3.20008E+12,3.25283E+12,3.29937E+12,3.34554E+12,1.74202E+12
