,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ARE,12.908653046915706,12.624752796543216,12.789746379810639,13.158819433753155,13.103301536010402,13.063713610652261,13.228707193919021,13.597780247865964,13.542262350123544,13.502674424763356,13.66766800803229,14.03674106196852,13.981223164237399,13.941635238876945,14.106628822140973,14.475701876082336,14.420183978349003,14.380596052987833,14.545589636252705,14.914662690197234,14.85914479245713,14.819556867098392,14.984550450364608,15.353623504305908,15.29810560656726,15.258517681210154,15.423511264481666,15.792584318421252,15.737066420679175,15.697478495321008,15.862472078587292
ARG,3.127954565311688,1.9083216361342688,1.1890806088547436,0.398325474978273,2.680862298870452,2.034243749904543,1.3150027226220244,0.5242475887419731,2.8067844126366723,2.1601658636641745,1.4409248363967113,0.6501697025224404,2.932706526408576,2.28608797745014,1.5668469501617883,0.7760918162863792,3.0586286401751903,2.4120100912123954,1.692769063915971,0.9020139300439193,3.184550753936696,2.5379322049649917,1.818691177685904,1.0279360438083003,3.3104728677018747,2.663854318733645,1.9446132914459695,1.1538581575718787,3.43639498146376,2.789776432501301,2.0705354052214884
AUS,85.4016751223919,86.50461226347875,85.96129568074386,84.69332711208833,93.17203208711192,93.35759089715981,92.81427431441831,91.54630574574256,100.02501072077321,100.21056953080691,99.66725294810361,98.39928437946905,106.87798935444785,107.06354816452227,106.52023158177076,105.25226301312173,113.73096798811336,113.916526798177,113.37321021540015,112.1052416467531,120.58394662177253,120.76950543180557,120.22618884907443,118.95822028041833,127.43692525543719,127.62248406547641,127.0791674827093,125.81119891406678,134.28990388908977,134.47546269914633,133.93214611641343
AUT,11.675074843356285,10.186872160816591,9.181024553727474,8.00312608502848,11.97385714676533,11.141971695027358,10.1361240879335,8.958225619227704,12.928956680968813,12.097071229220365,11.091223622150892,9.913325153456947,13.884056215181209,13.052170763455933,12.046323156353182,10.868424687656375,14.839155749385544,14.007270297653248,13.00142269053696,11.823524221844922,15.794255283582245,14.962369831834902,13.95652222474672,12.778623756046098,16.749354817784514,15.917469366042532,14.911621758939223,13.733723290244617,17.70445435198128,16.872568900248694,15.866721293159374
BEL,25.221386731149813,25.843907856331878,26.031889912433048,26.13839466411551,27.606930111857913,27.876957060842283,28.064939116942412,28.171443868622355,29.639979316365757,29.91000626534791,30.097988321453702,30.204493073138615,31.673028520875704,31.943055469863662,32.131037525962064,32.23754227764533,33.70607772538405,33.97610467437039,34.16408673046526,34.270591482149115,35.73912692989115,36.00915387887331,36.1971359349749,36.30364068665723,37.77217613439924,38.04220308338245,38.230185139479296,38.336689891163424,39.80522533890568,40.07525228789139,40.26323434399269
BGD,3.717658922915102,3.704225446722552,3.6692717642935078,3.6157449937387636,4.0640466176505115,4.047863013091261,4.01290933066176,3.9593825601062687,4.407684184018383,4.391500579458181,4.356546897030955,4.303020126476817,4.751321750387149,4.735138145829177,4.70018446339885,4.646657692844311,5.094959316755158,5.07877571219652,5.043822029764905,4.9902952592107725,5.438596883122495,5.4224132785623445,5.387459596133419,5.333932825578563,5.782234449490334,5.766050844930669,5.731097162500159,5.677570391945931,6.125872015857562,6.109688411298877,6.074734728869826
BGR,1.5819060913977903,1.1241161598099687,0.7299417899114169,0.2265038836026818,1.5404932130114504,1.2563225101868567,0.8621481402868869,0.3587102339749295,1.6726995633851156,1.3885288605574626,0.9943544906651924,0.4909165843595926,1.8049059137614472,1.5207352109416097,1.126560841039347,0.6231229347316845,1.9371122641357101,1.6529415613136678,1.2587671914065934,0.755329285099827,2.069318614508201,1.7851479116806357,1.3909735417826132,0.8875356354735873,2.2015249648820636,1.9173542620559236,1.523179892151746,1.0197419858450747,2.3337313152538495,2.049560612430911,1.6553862425325696
BHR,2.721498396042673,2.35957698754376,2.1384620414009476,1.8909952311443847,2.5377320803183245,2.343293616178049,2.1221786700343928,1.8747118597767323,2.521448708951411,2.3270102448092755,2.105895298669944,1.8584284884141282,2.505165337586085,2.310726873448004,2.089611927302741,1.8421451170465317,2.4888819662192985,2.294443502079975,2.073328555932344,1.8258617456770432,2.4725985948511173,2.2781601307091957,2.0570451845665216,1.8095783743096334,2.4563152234839434,2.261876759342994,2.0407618131977827,1.7932950029419186,2.440031852115834,2.245593387976517,2.0244784418336446
BLR,0.02871528900907029,0.029135672113846663,0.029825837397411695,0.03083402986167978,0.028524947791691763,0.02889547695095609,0.02958564223452298,0.030593834698799706,0.02828475262880958,0.028655281788077552,0.029345447071633307,0.030353639535891652,0.028044557465923298,0.0284150866251781,0.029105251908746986,0.03011344437301261,0.027804362303038975,0.02817489146229692,0.028865056745874265,0.02987324921014064,0.027564167140155187,0.027934696299424088,0.028624861582987302,0.029633054047254886,0.02732397197727051,0.027694501136538235,0.028384666420115615,0.029392858884377992,0.027083776814390722,0.027454305973652126,0.02814447125721605
BMU,1.5187124218700914,1.462001042648284,1.4372718898382053,1.4149832813348617,1.4723003262547774,1.445146553700661,1.4204174008904789,1.3981287923871666,1.4554458373071846,1.4282920647528086,1.4035629119431503,1.3812743034396917,1.4385913483597503,1.4114375758057822,1.3867084229953661,1.3644198144920394,1.4217368594121098,1.3945830868579947,1.369853934047342,1.3475653255442053,1.4048823704642253,1.3777285979099259,1.3529994450998175,1.3307108365963927,1.3880278815165006,1.3608741089623506,1.3361449561521614,1.31385634764878,1.3711733925687593,1.3440196200147152,1.3192904672045975
