,country,country_code,gold,silver,bronze,total
0,Norway,NOR,4,7,6,17
1,Finland,FIN,4,4,3,11
2,Austria,AUT,2,1,0,3
3,Switzerland,SUI,2,0,1,3
4,United States,USA,1,2,1,4
5,Great Britain,GBR,1,1,2,4
6,Sweden,SWE,1,1,0,2
7,Canada,CAN,1,0,0,1
8,Mixed team,MIX,1,0,0,1
9,France,FRA,0,0,3,3
10,Belgium,BEL,0,0,1,1
