,country,country_code,gold,silver,bronze,total
0,Germany,GER,11,12,6,29
1,United States,USA,9,9,7,25
2,Austria,AUT,9,7,7,23
3,Russian Federation,RUS,8,6,8,22
4,Canada,CAN,7,10,7,24
5,Sweden,SWE,7,2,5,14
6,Republic of Korea,KOR,6,3,2,11
7,Switzerland,SUI,5,4,5,14
8,Italy,ITA,5,0,6,11
9,France,FRA,3,2,4,9
10,Netherlands,NED,3,2,4,9
11,Estonia,EST,3,0,0,3
12,Norway,NOR,2,8,9,19
13,People's Republic of China,CHN,2,4,5,11
14,Czech Republic,CZE,1,2,1,4
15,Croatia,CRO,1,2,0,3
16,Australia,AUS,1,0,1,2
17,Japan,JPN,1,0,0,1
18,Finland,FIN,0,6,3,9
19,Poland,POL,0,1,1,2
20,Belarus,BLR,0,1,0,1
21,Bulgaria,BUL,0,1,0,1
22,Great Britain,GBR,0,1,0,1
23,Slovakia,SVK,0,1,0,1
24,Ukraine,UKR,0,0,2,2
25,Latvia,LAT,0,0,1,1
