,country,country_code,gold,silver,bronze,total
0,Soviet Union,URS,11,8,6,25
1,Austria,AUT,4,5,3,12
2,Norway,NOR,3,6,6,15
3,Finland,FIN,3,4,3,10
4,France,FRA,3,4,0,7
5,Germany,GER,3,3,3,9
6,Sweden,SWE,3,3,1,7
7,United States,USA,1,2,4,7
8,Canada,CAN,1,1,1,3
9,Netherlands,NED,1,1,0,2
10,Great Britain,GBR,1,0,0,1
11,Italy,ITA,0,1,3,4
12,Democratic People's Republic of Korea,PRK,0,1,0,1
13,Czechoslovakia,TCH,0,0,1,1
