,country,country_code,gold,silver,bronze,total
0,Russian Federation,RUS,11,8,4,23
1,Norway,NOR,10,11,5,26
2,Germany,GER,9,7,8,24
3,Italy,ITA,7,5,8,20
4,United States,USA,6,5,2,13
5,Republic of Korea,KOR,4,1,1,6
6,Canada,CAN,3,6,4,13
7,Switzerland,SUI,3,4,2,9
8,Austria,AUT,2,3,4,9
9,Sweden,SWE,2,1,0,3
10,Japan,JPN,1,2,2,5
11,Kazakhstan,KAZ,1,2,0,3
12,Ukraine,UKR,1,0,1,2
13,Uzbekistan,UZB,1,0,0,1
14,Belarus,BLR,0,2,0,2
15,Finland,FIN,0,1,5,6
16,France,FRA,0,1,4,5
17,Netherlands,NED,0,1,3,4
18,People's Republic of China,CHN,0,1,2,3
19,Slovenia,SLO,0,0,3,3
20,Great Britain,GBR,0,0,2,2
21,Australia,AUS,0,0,1,1
