,country,country_code,gold,silver,bronze,total
0,Soviet Union,URS,11,9,9,29
1,East Germany,GDR,9,10,6,25
2,Switzerland,SUI,5,5,5,15
3,Finland,FIN,4,1,2,7
4,Sweden,SWE,4,0,2,6
5,Austria,AUT,3,5,2,10
6,Netherlands,NED,3,2,2,7
7,West Germany,FRG,2,4,2,8
8,United States,USA,2,1,3,6
9,Italy,ITA,2,1,2,5
10,France,FRA,1,0,1,2
11,Norway,NOR,0,3,2,5
12,Canada,CAN,0,2,3,5
13,Yugoslavia,YUG,0,2,1,3
14,Czechoslovakia,TCH,0,1,2,3
15,Japan,JPN,0,0,1,1
16,Liechtenstein,LIE,0,0,1,1
