,country,country_code,gold,silver,bronze,total
0,Soviet Union,URS,7,5,9,21
1,Germany,GER,4,3,1,8
2,United States,USA,3,4,3,10
3,Norway,NOR,3,3,0,6
4,Sweden,SWE,3,2,2,7
5,Finland,FIN,2,3,3,8
6,Canada,CAN,2,1,1,4
7,Switzerland,SUI,2,0,0,2
8,Austria,AUT,1,2,3,6
9,France,FRA,1,0,2,3
10,Netherlands,NED,0,1,1,2
11,Poland,POL,0,1,1,2
12,Czechoslovakia,TCH,0,1,0,1
13,Italy,ITA,0,0,1,1
